ID_Item;Nome_Item;Categoria;Preco_Custo;Estoque_Atual
501;Grão Arábica Special;Grãos;65.00;40
502;Leite de Amêndoas 1L;Laticínios;18.50;24
503;Xarope de Baunilha;Complementos;42.00;12
504;Filtro de Papel V60;Descartáveis;35.00;100
505;Prensa Francesa;Equipamentos;120.00;8
506;Copo Térmico 350ml;Utensílios;85.00;15
507;Chocolate em Pó 70%;Matéria-prima;55.00;10
508;Moedor de Café Manual;Equipamentos;210.00;5
509;Cápsula Intenso x10;Grãos;28.00;60
510;Açúcar Mascavo 1kg;Suprimentos;12.00;20
511;Chá Verde Importado;Infusões;48.00;15
512;Balança Digital Precisão;Equipamentos;150.00;6
513;Espumador de Leite;Equipamentos;95.00;9
514;Canudo Biodegradável;Descartáveis;22.00;500
515;Pó para Chai Latte;Matéria-prima;70.00;14
516;Guardanapo Premium;Descartáveis;15.00;200
517;Porta-Filtro Cerâmica;Utensílios;110.00;7
518;Mel Orgânico 500g;Complementos;38.00;11
519;Escova de Limpeza;Manutenção;25.00;18
520;Jarra de Leite Inox;Utensílios;60.00;12
