ID_Produto|Nome_Produto|Categoria|Preco_Unitario|Estoque
101|Teclado Mecânico|Periféricos|250.00|15
102|Mouse Gamer|Periféricos|180.00|22
103|Monitor 24pol|Hardware|1200.00|8
104|Webcam HD|Acessórios|350.00|12
105|Headset Wireless|Áudio|450.00|10
106|SSD 1TB|Hardware|500.00|25
107|Cabo HDMI|Acessórios|45.00|50
108|Gabinete ATX|Hardware|400.00|5
109|Memória RAM 16GB|Hardware|380.00|18
110|Microfone USB|Áudio|600.00|7
111|Mousepad XL|Periféricos|120.00|30
112|Carregador Notebook|Acessórios|150.00|14
113|Placa de Vídeo|Hardware|2800.00|3
114|Cooler Fan|Hardware|80.00|40
115|Switch Ethernet|Redes|200.00|11
116|Roteador Wi-Fi 6|Redes|550.00|9
117|Suporte Monitor|Móveis|180.00|15
118|Teclado Membrana|Periféricos|90.00|20
119|Pendrive 64GB|Acessórios|60.00|100
120|Hub USB-C|Acessórios|130.00|25
