Cod_Carga,Destino,Transportadora,Peso_KG,Status
C001," SP ","TransRapido ",450,"Entregue "
C002,"Rio "," JatoLog",120," Em Transito"
C003," BH","TransRapido ",300,"Entregue"
C004," Curitiba","LogBrasil ",500,"Pendente "
C005," SP","JatoLog ",210,"Entregue"
C006,"Porto Alegre "," TransRapido",180,"Em Transito "
C007," DF ","LogBrasil",600,"Entregue"
C008,"Manaus "," TransNorte",1000,"Pendente"
C009," Recife","TransNorte ",450,"Entregue "
C010," SP ","JatoLog",320,"Em Transito"
C011,"Salvador ","LogBrasil ",280,"Entregue"
C012," Fortaleza","TransNorte",550,"Pendente"
C013,"Rio ","JatoLog ",150," Entregue"
C014," BH "," TransRapido",400,"Em Transito"
C015," Vitoria","LogBrasil ",220,"Entregue "
C016," SP","JatoLog",190,"Pendente"
C017," Goiania "," TransRapido",310,"Entregue"
C018," Cuiaba","LogBrasil",480,"Em Transito"
C019," Belém ","TransNorte ",700,"Entregue"
C020," SP ","JatoLog ",250,"Pendente"
