Data_Transacao,Descricao,Valor_RS,Categoria,Parcelas
"01/01/2024",Aluguel,"R$ 2.500,00",Moradia,"1"
"05/01/2024",Supermercado,"R$ 450,20",Alimentação,"1"
"10/01/2024",Internet,"R$ 120,00",Serviços,"1"
"12/01/2024",Restaurante,"R$ 85,50",Lazer,"1"
"15/01/2024",Academia,"R$ 150,00",Saúde,"1"
"18/01/2024",Gasolina,"R$ 220,00",Transporte,"1"
"20/01/2024",Farmácia,"R$ 60,40",Saúde,"1"
"22/01/2024",Cinema,"R$ 45,00",Lazer,"1"
"25/01/2024",Energia,"R$ 310,00",Serviços,"1"
"28/01/2024",Cartão Crédito,"R$ 1.200,00",Financeiro,"1"
"02/02/2024",Aluguel,"R$ 2.500,00",Moradia,"1"
"06/02/2024",Supermercado,"R$ 510,00",Alimentação,"1"
"11/02/2024",Internet,"R$ 120,00",Serviços,"1"
"14/02/2024",Restaurante,"R$ 110,00",Lazer,"1"
"16/02/2024",Academia,"R$ 150,00",Saúde,"1"
"19/02/2024",Gasolina,"R$ 200,00",Transporte,"1"
"21/02/2024",Farmácia,"R$ 35,00",Saúde,"1"
"23/02/2024",Streaming,"R$ 55,90",Lazer,"1"
"26/02/2024",Energia,"R$ 290,00",Serviços,"1"
"28/02/2024",Seguro Carro,"R$ 180,00",Transporte,"1"
