ID_User,Plano,Data_Adesao,Valor,Status
U982,Premium,2023-10-12,45.90,Ativo
U982,Premium,2023-10-12,45.90,Ativo
U441,Basic,2023-11-05,25.90,Ativo
U102,Standard,2023-08-20,35.90,Cancelado
U553,Premium,2023-12-01,45.90,Ativo
U553,Premium,2023-12-01,45.90,Ativo
U772,Basic,2024-01-10,25.90,Ativo
U102,Standard,2023-08-20,35.90,Cancelado
U339,Standard,2023-09-15,35.90,Ativo
U118,Premium,2024-02-20,45.90,Ativo
U118,Premium,2024-02-20,45.90,Ativo
U225,Basic,2023-07-11,25.90,Pendente
U980,Standard,2023-11-30,35.90,Ativo
U980,Standard,2023-11-30,35.90,Ativo
U661,Premium,2024-03-05,45.90,Ativo
U120,Basic,2023-06-25,25.90,Ativo
U120,Basic,2023-06-25,25.90,Ativo
U404,Standard,2023-05-15,35.90,Ativo
U887,Premium,2024-01-22,45.90,Pendente
U887,Premium,2024-01-22,45.90,Pendente
