ID_Funcionario,Setor,Idade_Anos,Salario_RS,Vendas_Mes
F01,Vendas,25,3200,18
F02,Marketing,29,4100,12
F03,Financeiro,35,5800,9
F04,Vendas,22,2900,22
F05,TI,31,7200,5
F06,Vendas,27,-3500,20
F07,Marketing,30,4500,14
F08,TI,41,9800,3
F09,Financeiro,28,5300,8
F10,Vendas,26,99999,25
F11,Marketing,33,4700,13
F12,TI,24,3600,4
F13,Vendas,38,6400,19
F14,Financeiro,45,15000,2
F15,Vendas,23,3050,21
F16,Marketing,27,3900,11
F17,TI,29,4100,6
F18,Vendas,34,5200,500
F19,Financeiro,32,5600,10
F20,Vendas,26,3300,18
