Pet_ID,Especie,Idade_Anos,Peso_KG,Ultima_Vacina
P01,Cachorro,5,12.5,2023
P02,Gato,3,4.2,2024
P03,Cachorro,99,25.0,2022
P04,Hamster,1,0.2,2024
P05,Cachorro,4,-5.0,2023
P06,Gato,2,3.8,2024
P07,Papagaio,40,1.2,2023
P08,Cachorro,2,800.0,2024
P09,Gato,15,5.0,2021
P10,Cachorro,6,15.0,2023
P11,Cachorro,10,30.0,2024
P12,Gato,4,4.5,2023
P13,Coelho,2,2.0,2024
P14,Cachorro,3,10.0,2023
P15,Gato,1,3.0,2024
P16,Tartaruga,80,12.0,2022
P17,Cachorro,5,18.0,2023
P18,Gato,22,4.0,2024
P19,Cachorro,4,550.0,2023
P20,Hamster,2,-1.0,2024
